#Fitness:-0.417381, A: 37456.6, E: 81646, NS: 1.5901, yinf: 0.236859
#Time,Temp,Exp,Model
7505,918.94,0.2291,0.236894
7514,919.7,0.2291,0.236894
7524,920.48,0.2287,0.236893
7533,921.25,0.2287,0.236893
7543,922.02,0.2286,0.236892
7552,922.8,0.2286,0.236891
7562,923.56,0.2285,0.236891
7571,924.34,0.2284,0.23689
7581,925.1,0.2284,0.23689
7590,925.86,0.2284,0.236889
7600,926.63,0.2283,0.236889
7609,927.39,0.2282,0.236888
7619,928.15,0.2279,0.236888
7628,928.93,0.2278,0.236887
7638,929.71,0.2278,0.236887
7647,930.47,0.2279,0.236886
7657,931.24,0.2279,0.236886
7666,932.01,0.2275,0.236885
7676,932.78,0.2273,0.236885
7685,933.55,0.2273,0.236884
7695,934.33,0.2271,0.236884
7704,935.09,0.2271,0.236883
7714,935.86,0.2269,0.236883
7723,936.63,0.2268,0.236883
7733,937.4,0.2268,0.236882
7742,938.17,0.2267,0.236882
7752,938.94,0.2266,0.236881
7761,939.71,0.2266,0.236881
7771,940.48,0.2266,0.236881
7780,941.25,0.2265,0.23688
7790,942.02,0.2264,0.23688
7799,942.79,0.2263,0.236879
7809,943.56,0.2264,0.236879
